Age,Income,Education_Years,Experience_Years,Spending_Score,Savings,Credit_Score,Debt,Hours_Online,Purchases_Month,Website_Visits,Time_On_App,Social_Media_Usage,Product_Returns,Customer_Tenure,Satisfaction_Score,Complaints,Support_Call_Count,Ad_Clicks,Email_Open_Rate,Discount_Usage,Mobile_App_Usage,Transactions_Value,Fraud_Risk_Score,Loyalty_Points,Dropout_Probability,Market_Segment,Region_Code,Channel _ Preference,Risk_Class
57,34441.30769,15,30,56,19031.36031,676,14273.23124,11,5,21,178.5,3.3,1,48,5,0,4,14,0.5456,0.2675,1,3236,0.1433,6364,0.5497,5,3,2,0
41,47144.91983,14,16,59,20294.49717,712,20444.92552,5,2,18,43.58,2.83,1,28,5,0,1,12,0.3348,0.352,10,3989,0.3225,1183,0.1771,1,2,3,0
20,36865.7262,12,22,29,6639.956205,659,18977.22258,3,6,25,227.02,0.05,1,7,10,0,1,10,0.0774,0.3226,0,4582,0.8322,1088,0.9517,3,7,3,1
39,29258.00404,17,31,71,15746.7048,672,15453.59694,0,6,18,65.45,1.02,1,42,2,1,2,11,0.0659,0.4983,1,3038,0.1751,1192,0.09,3,2,2,0
19,63892.66321,13,9,77,24444.70948,748,15621.35965,7,6,20,239.39,3.88,0,10,7,1,2,10,0.7592,0.5268,7,2230,0.7793,2128,0.3671,4,7,2,0
41,78641.24961,11,9,18,39434.26114,712,6120.909117,5,4,19,56.96,1.38,3,68,7,0,3,5,0.6155,0.3968,7,2107,0.7163,5387,0.9213,5,5,1,1
61,29021.48639,19,35,2,18431.94533,652,4859.9367,4,8,22,216.41,2.5,0,44,9,1,2,11,0.7151,0.3318,0,2646,0.6514,3451,0.6023,2,5,2,0
47,58444.53855,16,7,8,6698.989422,628,13939.06635,2,5,26,99.92,1.56,0,102,9,1,1,11,0.6853,0.5044,6,4739,0.4333,331,0.6627,2,3,3,1
55,40240.36146,11,19,75,8758.006474,705,11200.28889,5,8,22,174.94,4.61,0,13,4,0,2,18,0.1343,0.0336,0,4119,0.3668,9403,0.3017,2,4,1,1
19,42693.11924,8,31,97,19713.68251,691,18516.47421,12,9,20,11.6,2.68,0,85,5,0,2,7,0.1516,0.6452,10,2738,0.0853,1048,0.0785,2,1,3,1
38,41114.09114,14,13,54,29417.65438,671,16183.07846,4,5,29,148.57,3.48,0,33,7,2,1,8,0.2525,0.606,7,4495,0.3574,2275,0.3658,1,5,2,1
50,37040.13845,14,27,38,25098.82946,634,10363.35364,7,6,15,44.61,0.42,4,104,10,0,4,11,0.3991,0.2792,2,3543,0.6018,5237,0.4022,2,3,3,0
29,50727.82442,11,23,48,23682.04691,646,15979.19076,9,6,26,145.9,0.2,1,92,7,0,3,16,0.9392,0.1795,2,2739,0.8982,6385,0.2703,4,6,3,0
39,37535.74825,10,14,27,30473.1551,643,12490.60329,9,6,25,42.41,1.3,0,87,10,1,3,8,0.6739,0.073,6,3212,0.8331,1634,0.2155,2,2,1,1
61,54056.85239,15,21,20,14238.1673,634,27399.60827,4,6,26,131.13,1.55,4,32,8,0,2,9,0.2552,0.5873,6,3483,0.0322,7648,0.3555,4,7,1,0
42,49246.42836,12,29,12,20152.75776,620,17317.45379,7,2,23,33.19,3.44,1,48,8,0,0,9,0.056,0.5689,8,3164,0.1389,502,0.6394,3,5,3,0
66,46415.7793,17,3,43,15836.94304,663,5636.358078,10,2,26,65.99,2.85,3,5,2,1,2,12,0.6842,0.5333,9,5089,0.8485,3569,0.949,5,2,2,1
44,36386.54507,14,12,61,17828.35412,618,25923.0906,0,6,25,178.52,1.87,0,61,9,1,4,8,0.6253,0.9856,4,2820,0.9393,9271,0.7038,2,2,1,1
59,41348.43004,11,22,31,11949.84517,659,11201.10598,5,8,14,293,3.27,0,90,4,0,1,13,0.6758,0.5315,8,1341,0.0558,7316,0.7796,4,5,3,1
45,61330.86839,11,7,91,17248.19143,545,9151.578055,3,6,19,134.76,0.82,1,103,1,0,2,11,0.2612,0.7218,5,3375,0.7013,9526,0.3061,4,7,1,0
33,57513.75781,15,17,96,19778.27547,620,27862.11992,5,8,20,206.15,0.32,0,90,1,1,0,8,0.517,0.1129,5,2650,0.3657,4647,0.1047,5,3,1,0
32,35336.67133,15,11,61,17028.228,705,17075.01995,5,5,25,161.83,4.27,0,3,5,0,2,12,0.3617,0.299,7,1389,0.3643,4018,0.2915,3,6,2,1
64,51489.98458,9,30,74,18711.50798,605,19204.59604,9,6,17,149.51,2.82,2,24,7,3,4,8,0.8177,0.2754,1,3797,0.6427,4216,0.4027,2,7,3,1
68,61270.80685,9,13,67,23240.32435,680,19398.3607,1,8,21,19.41,3.25,1,117,5,0,2,9,0.0694,0.576,3,-1329,0.8102,5891,0.6899,4,1,3,1
61,24958.92078,10,33,91,29909.56615,609,13764.0617,6,2,20,43.29,1.54,0,98,3,0,2,11,0.2754,0.3308,8,3346,0.2748,5231,0.9394,2,3,3,0
69,58150.40289,19,17,35,30489.24694,689,11565.56838,7,8,15,264.92,1.86,2,34,7,0,1,5,0.603,0.6411,5,157,0.7054,8214,0.8093,1,4,3,1
20,40060.64362,19,33,95,26091.37414,635,12544.45527,6,2,19,123.05,0.41,0,84,1,0,2,7,0.2052,0.6901,9,3006,0.6359,7848,0.2664,4,7,3,0
54,58558.98003,10,10,15,9920.148172,633,24653.19768,9,8,26,184.3,4.28,2,119,1,0,3,9,0.6727,0.0337,1,3664,0.5173,7431,0.8203,3,7,1,1
68,38551.11265,8,11,16,17116.72012,653,16222.72532,5,3,28,158.47,2.96,0,94,2,0,4,11,0.1368,0.6398,3,3879,0.6024,479,0.4117,5,7,1,0
24,22926.76849,10,14,13,17805.71975,583,22877.49024,11,9,23,113.66,0.42,3,42,1,3,6,9,0.0228,0.1168,4,3970,0.0181,2354,0.1754,4,4,1,0
38,25586.86343,13,30,35,14742.80135,699,14541.32924,6,7,16,116.34,4.02,0,20,9,1,1,11,0.8635,0.4651,4,1734,0.0041,4864,0.4613,1,1,1,1
26,50721.2742,15,28,75,22738.80943,715,10467.69854,7,7,17,166.64,2.22,1,41,4,0,0,8,0.3334,0.7266,10,3228,0.5504,1143,0.5632,5,7,2,0
56,53895.83753,19,25,59,7245.372054,632,6346.701157,10,4,25,42.34,3.83,2,82,7,1,0,10,0.1568,0.7033,3,2159,0.5241,2333,0.7634,3,6,2,0
35,36435.25062,17,17,21,33548.53176,676,18888.01911,3,8,27,116.18,0.06,3,102,5,1,1,7,0.1727,0.2998,5,2090,0.0713,5083,0.3499,2,7,3,0
21,59578.88688,13,31,54,29561.76537,689,25164.58847,1,3,18,134.09,0.14,0,20,7,0,0,14,0.8859,0.2724,5,2868,0.492,7952,0.1468,2,4,2,1
42,25077.19907,12,21,75,23825.6181,645,9684.161951,8,5,28,295.54,0.85,2,6,7,0,3,5,0.6544,0.4402,8,2495,0.7575,7574,0.0944,4,2,1,0
31,49008.80302,11,37,30,19503.12536,595,18080.23541,6,3,21,105.44,1.05,0,57,1,1,2,10,0.9563,0.1887,5,1757,0.5412,5271,0.1124,5,4,1,0
67,31834.757,10,16,48,29830.71436,730,6746.305706,11,4,17,193.37,3.82,1,42,1,1,1,8,0.8,0.9747,6,3386,0.5176,2645,0.95,1,5,1,0
26,40222.45838,11,22,35,25515.23949,630,11665.81994,12,2,19,41.22,3.53,4,25,3,1,1,9,0.7675,0.3449,8,3658,0.7179,5444,0.9518,1,7,1,1
43,50710.98007,14,23,86,28853.10227,620,16607.62071,5,2,23,19.64,3.08,3,41,10,0,1,13,0.4998,0.923,1,1967,0.1718,6067,0.9688,3,2,1,1
19,37093.79952,8,7,38,19527.58334,732,4630.235486,5,5,27,261.46,4.42,0,41,2,1,0,13,0.8208,0.9083,10,2779,0.4575,838,0.3025,5,7,3,1
37,44231.66684,14,5,31,34314.50469,681,14891.86048,5,9,13,219.22,1.24,0,3,7,1,1,13,0.4127,0.3648,8,2799,0.148,7413,0.1916,5,3,3,0
45,65094.39214,8,4,78,29335.10301,663,9979.797159,4,6,17,95.25,4.52,1,108,3,0,3,12,0.827,0.2541,4,2819,0.5238,8191,0.9809,2,6,1,1
64,41346.62196,9,28,24,24076.29036,601,18628.55535,9,5,23,151.37,4.55,2,43,7,0,3,13,0.7577,0.7708,7,2932,0.5919,5035,0.9883,3,1,3,1
24,62535.38168,11,27,49,30047.78336,690,14007.59615,9,1,20,40.72,2.17,2,46,9,1,1,7,0.6784,0.2294,8,3346,0.1217,2209,0.0784,3,5,2,1
61,33054.39718,8,10,96,16646.70447,795,20636.63412,6,6,24,212.15,0.47,0,57,1,2,4,10,0.3297,0.5212,9,4401,0.0755,9584,0.7525,3,5,2,1
25,57947.06267,18,0,100,10659.99713,694,13322.41028,1,6,22,21.1,3.63,0,83,3,0,3,13,0.6307,0.1107,2,3156,0.1667,5048,0.2887,5,1,1,0
64,71623.52931,19,18,32,22572.4041,675,6825.722881,4,3,15,227.11,1.68,1,74,6,1,0,11,0.5068,0.3859,7,2388,0.5863,1959,0.9093,2,4,3,1
52,12925.3325,18,8,55,19543.27643,686,6078.239514,4,4,19,164.05,3.97,3,51,9,0,2,6,0.4615,0.0782,0,2986,0.1896,275,0.0892,3,1,1,1
31,38046.57117,18,26,79,18418.26126,634,3545.942979,10,4,15,83.66,0.82,0,5,5,0,3,8,0.9902,0.2834,1,1724,0.2752,4624,0.8886,2,1,3,1
34,58656.08191,16,33,58,29730.49631,633,18797.747,1,4,13,258.77,2.7,3,86,3,0,4,7,0.5044,0.6653,8,1923,0.7025,9651,0.0026,3,4,1,1
53,46954.31921,19,3,99,21337.11371,632,30346.38552,10,5,21,295.82,2.54,1,73,8,1,2,9,0.032,0.9913,8,3519,0.2483,9150,0.522,5,7,1,0
67,55567.1881,13,35,3,22108.55259,621,17611.42882,8,7,24,76.3,0.5,0,97,5,0,3,8,0.6265,0.2548,6,-756,0.3975,1841,0.3356,2,3,1,0
57,40940.2222,8,17,80,17383.57953,632,25032.28129,9,7,23,241.87,1.82,0,15,6,1,0,8,0.728,0.4733,6,2740,0.9288,4145,0.4273,4,6,2,1
21,51298.84681,8,14,69,27048.98511,632,21801.43974,5,5,18,225.05,0.42,1,88,2,0,2,6,0.8852,0.448,7,4114,0.825,5675,0.4338,3,1,3,0
19,47664.84147,13,12,85,25615.00625,638,11889.98394,8,13,20,224.16,2.32,0,94,4,1,1,10,0.6327,0.1842,9,3485,0.2555,7057,0.6536,5,4,3,0
23,67516.73092,11,18,10,26989.27742,636,22591.89589,7,8,22,287.17,4.21,0,100,1,0,3,9,0.0195,0.6101,4,4033,0.5976,8181,0.0231,2,5,2,1
59,53816.31265,11,5,83,16021.88827,662,12128.55185,9,2,16,145.99,1.35,2,39,4,0,1,11,0.1197,0.7247,1,3403,0.6658,487,0.6914,1,1,2,0
21,55064.03993,18,11,25,30432.70768,654,12247.75278,5,3,21,202.25,3.82,2,70,1,1,4,9,0.1612,0.1472,8,5390,0.9002,2127,0.0222,5,6,3,1
46,43821.84551,13,36,68,34710.14739,658,13748.44604,6,5,20,247.16,0.92,0,79,4,0,1,7,0.2113,0.7571,3,1523,0.5475,5405,0.1853,5,7,3,0
35,42685.90664,19,16,61,26736.30718,726,14032.81187,8,9,16,143.86,3.37,1,38,2,0,3,8,0.7998,0.7002,1,3139,0.5613,6704,0.6067,1,7,1,1
43,43511.62718,18,22,29,13525.6937,654,18968.21678,1,7,14,144.43,4.58,0,39,6,0,5,9,0.3098,0.1973,6,3873,0.8884,7265,0.0864,1,1,1,0
61,55916.78214,14,25,19,13582.38173,761,10974.67958,5,6,21,95.6,1.62,1,52,6,1,1,16,0.3124,0.6489,6,2494,0.0544,5597,0.9909,4,7,3,0
51,43685.23279,16,28,43,16996.98436,668,20334.61667,12,7,18,234.25,4.5,3,86,8,1,1,11,0.7556,0.3937,5,4414,0.6281,1940,0.7844,4,3,3,1
27,54346.62285,17,32,66,15484.98229,628,20248.4645,0,5,22,205.86,2.53,0,3,9,1,0,6,0.4124,0.6811,9,3725,0.4166,7735,0.7057,4,3,1,0
53,81131.01198,12,26,74,19431.25899,717,17057.78119,4,6,25,135.34,1.58,3,117,8,0,0,11,0.0646,0.4961,3,1210,0.9098,4350,0.2677,5,5,2,1
31,63066.87055,16,24,61,25059.53973,646,26637.67145,4,4,15,125.8,4.48,0,29,1,0,0,13,0.5851,0.0481,0,3435,0.9605,959,0.0486,5,3,3,0
48,45109.64702,11,9,43,22319.61953,530,22724.35589,8,3,16,21.78,0.16,0,93,3,0,2,7,0.1301,0.787,3,3730,0.1702,6630,0.9788,5,7,3,1
65,68018.20883,17,22,25,21618.31245,650,21418.37574,1,7,14,1.95,0.14,1,31,6,0,1,11,0.5717,0.5556,0,4959,0.2815,5792,0.1478,4,6,2,0
32,43878.8694,9,20,20,18070.378,638,15396.92025,8,6,21,158.67,3,1,109,1,0,1,11,0.7796,0.7248,5,2785,0.2735,2563,0.8306,2,5,2,0
25,19428.13197,10,20,48,19409.23258,730,17110.59683,1,4,12,125.25,3.98,0,66,8,0,1,11,0.9295,0.1261,4,3671,0.1006,463,0.1975,5,7,2,0
31,34878.70534,18,12,83,26372.60406,605,18142.84418,1,5,20,238.81,3.76,0,99,6,1,1,11,0.0671,0.7213,8,3309,0.4829,7671,0.3741,5,1,3,0
40,21938.12118,8,36,87,3904.33578,633,15079.44824,9,5,28,162.8,0.4,1,45,1,1,6,10,0.304,0.4137,8,2325,0.5131,8207,0.6936,5,4,3,0
57,44727.29774,13,32,24,19908.87673,713,12746.58324,4,3,26,281.01,4.75,0,73,10,0,2,9,0.6525,0.7993,4,2581,0.573,918,0.9454,4,3,3,1
38,50276.27569,13,23,11,22303.90076,670,565.7235427,12,2,17,58.84,3.52,0,22,2,0,3,6,0.3155,0.5992,2,369,0.663,6087,0.0198,3,5,1,1
33,75146.55968,8,10,98,26268.66455,641,19306.59245,0,1,19,297.05,4.75,1,83,6,0,3,12,0.451,0.3549,4,2433,0.0629,1613,0.2608,4,3,2,1
62,54903.91061,18,16,55,11919.63249,612,21248.6833,5,3,19,89.38,1.65,0,114,10,0,3,4,0.0201,0.2019,6,4885,0.6225,9014,0.765,3,3,2,1
35,46713.49207,10,3,28,11496.72254,668,8033.286863,1,2,16,192.73,3.47,3,101,8,0,4,11,0.6935,0.8159,2,2793,0.9138,2120,0.1734,4,2,1,0
64,62441.08372,12,24,69,24671.63996,649,18631.0119,4,6,30,150.56,4.3,1,10,5,1,1,11,0.8833,0.5602,8,4013,0.455,3391,0.1115,2,1,1,1
41,16832.97036,10,29,63,4764.382078,612,11450.83993,12,4,23,107.87,1.9,3,110,1,0,4,7,0.9769,0.9875,3,3273,0.1067,1881,0.0462,2,3,1,1
43,53534.21837,17,8,59,30657.51289,614,12800.82491,11,4,20,41.79,4.82,2,21,10,0,2,10,0.8305,0.3735,9,3509,0.0859,8931,0.5025,5,4,1,0
42,61562.97791,10,20,5,21812.73593,609,22864.56316,1,7,32,40.45,1.32,0,17,2,1,2,11,0.0318,0.6857,5,5393,0.2818,7362,0.7677,4,6,2,1
62,27821.20631,17,19,51,32469.7697,600,9056.193659,7,4,22,213.45,1.58,0,67,4,0,3,10,0.6519,0.6228,8,2510,0.7525,5001,0.9617,3,2,1,0
58,67156.31065,10,18,21,11303.42099,697,9047.113268,8,3,19,113.29,4.6,1,7,4,0,0,13,0.4957,0.6376,6,2501,0.261,7256,0.2675,3,5,1,1
46,55077.44611,12,18,12,16509.12425,690,25829.00619,3,4,28,288.39,4.85,2,105,7,0,0,11,0.9379,0.737,6,4305,0.8143,3843,0.1214,2,5,2,0
32,43770.68129,12,11,50,737.0533846,697,14126.65981,2,4,14,97.69,1.43,1,101,2,1,4,12,0.9021,0.1391,7,2903,0.8197,8989,0.4026,5,4,2,0
62,59491.72799,11,36,4,13634.4819,650,22479.27356,11,5,28,295.06,0.68,2,36,7,0,2,9,0.988,0.5496,8,2673,0.4571,6129,0.0554,3,4,2,0
18,84060.39287,8,16,42,18529.22495,638,5407.782829,12,6,23,61.63,3.8,0,67,7,0,6,14,0.8619,0.5091,6,4145,0.3008,3210,0.3314,4,6,2,1
42,52727.99383,12,36,84,4298.33936,639,5888.380382,12,3,8,30.84,4.65,0,77,7,1,1,7,0.5469,0.3425,8,3310,0.5977,9778,0.6431,5,1,3,0
24,53723.30879,17,38,38,16842.9855,701,9522.332907,9,4,18,93.77,3,0,105,3,0,0,10,0.7149,0.4362,2,2818,0.8105,9969,0.1682,4,4,3,1
26,43109.58651,12,27,25,4101.278585,559,12111.23534,8,3,21,265.68,3.17,1,30,6,0,3,11,0.9647,0.5188,3,2590,0.0646,5516,0.6319,4,5,3,0
41,37252.33446,11,34,14,17940.31852,624,6580.28042,4,2,18,156.56,3.81,0,87,6,0,2,7,0.5781,0.3209,2,1988,0.9534,2531,0.9719,2,1,3,0
18,62455.03725,13,17,75,29176.89542,606,17215.77886,2,0,20,40.7,0.77,0,71,4,0,5,12,0.84,0.2932,8,1142,0.6459,5487,0.8642,4,4,2,0
61,37158.74261,17,13,32,19720.162,718,17607.56501,1,5,19,60.75,4.87,1,94,1,0,7,10,0.9422,0.7383,1,4334,0.3981,4553,0.3568,1,4,3,0
25,51073.49356,11,34,11,33265.65898,626,9611.142733,8,4,17,93.38,1.82,0,29,9,0,2,10,0.5705,0.0669,8,2491,0.506,2279,0.4215,5,7,1,0
41,42835.1383,14,6,61,26290.34051,568,10088.4078,9,7,18,177.05,3.14,1,72,2,0,1,6,0.1592,0.313,4,956,0.3856,9559,0.4193,1,5,1,0
28,57184.69739,14,12,18,30785.18279,661,10879.3114,10,1,20,99.71,2.34,0,74,9,1,3,18,0.1556,0.6537,1,5140,0.4126,7305,0.8599,4,1,1,1
68,55004.93158,9,17,27,13880.43807,631,8010.685207,11,3,18,224.12,2.34,1,33,8,0,3,10,0.1153,0.2088,4,3104,0.5956,9589,0.9938,4,2,3,0
34,65563.09916,10,36,55,13686.86697,622,-2373.3462,11,5,18,184.89,3.51,2,59,1,0,4,10,0.4763,0.5723,3,3027,0.0602,5556,0.8259,2,2,3,0
25,42349.75402,8,12,54,22764.90733,617,14489.75816,12,5,24,262.15,4.97,0,20,7,0,2,10,0.4801,0.3022,6,1095,0.1754,154,0.5581,2,6,1,1
52,45951.87597,15,35,82,7378.383267,615,12417.37384,3,7,28,150.29,3.3,2,93,10,0,1,12,0.6174,0.8433,5,3697,0.227,9307,0.0974,2,1,3,1
52,35318.54426,16,30,87,23769.15,685,13031.12493,9,2,17,99.35,3.97,0,29,3,0,4,13,0.4829,0.35,3,2363,0.4075,3665,0.9545,2,4,2,0
50,43335.6011,11,1,75,17408.64147,661,8929.178874,7,4,21,298.88,0.14,1,53,10,0,4,9,0.9731,0.2295,9,2365,0.3711,6727,0.86,3,4,3,0
22,55659.5074,13,15,21,30639.9747,640,19862.98499,3,4,15,106.69,4.05,2,85,10,0,2,9,0.2913,0.5301,4,3497,0.7222,1114,0.8414,2,1,1,0
59,61354.82925,16,8,44,25436.09803,595,29552.34954,12,4,20,128.58,1.5,0,1,9,0,2,11,0.8738,0.1357,5,3145,0.2592,699,0.3918,4,2,1,0
56,36167.52014,13,8,5,28773.65144,642,9995.490864,11,6,16,242.74,0.63,2,115,5,1,5,13,0.1003,0.7975,8,1833,0.0571,7565,0.4472,4,6,3,1
58,63044.0888,19,37,87,13966.35135,663,23398.17683,2,8,15,26.59,0.57,0,34,3,0,4,12,0.6019,0.68,1,1291,0.0554,6955,0.1197,5,7,3,1
45,70334.56788,19,10,41,28385.68215,665,17199.89887,0,6,23,115.95,3.4,0,44,8,0,3,16,0.6483,0.7705,4,3198,0.0113,7109,0.9379,1,7,1,1
24,56201.52355,19,21,59,31557.69995,658,15212.51935,8,5,16,25.71,4.99,0,119,3,0,1,13,0.7722,0.3989,4,3094,0.038,8787,0.9432,3,3,1,1
26,78151.93719,16,32,89,19690.28941,604,12935.26358,7,3,17,41.79,3.33,2,96,7,0,5,5,0.503,0.835,5,6127,0.8587,1013,0.2544,3,5,3,1
25,38393.16201,11,35,54,14085.19505,530,14500.69878,11,2,21,1.39,1.31,0,109,7,0,2,15,0.1972,0.4935,1,303,0.6972,8731,0.696,5,1,3,0
29,31330.17945,15,22,74,14225.70239,740,21897.54414,3,7,21,2.86,1.02,2,14,7,0,0,8,0.369,0.0947,1,3177,0.9959,11,0.2035,5,6,1,1
51,23319.19627,16,33,22,29912.10394,585,8171.514234,1,3,19,114.09,2.63,0,37,1,0,2,9,0.2722,0.224,4,1052,0.0203,7474,0.3929,2,3,1,0
50,72440.66467,11,8,83,41474.76594,552,13349.95961,3,6,15,242.75,0.33,0,35,5,0,3,7,0.4191,0.7111,0,2502,0.849,4459,0.3024,5,5,1,1
65,59815.48485,12,23,65,12146.83944,657,22494.00125,0,2,21,176.1,2,1,59,1,0,4,6,0.53,0.8964,3,2487,0.6961,661,0.3896,3,3,1,1
40,49166.22994,15,7,64,11531.8396,565,20902.28816,0,7,28,190.47,3.33,0,24,7,2,3,10,0.6251,0.0952,2,3650,0.6403,4633,0.309,1,3,1,0
41,54199.52939,19,6,71,27371.31345,610,8264.484366,11,4,26,155.77,4.84,1,113,8,0,1,14,0.8451,0.8642,5,3684,0.3565,7381,0.3453,1,5,1,0
54,33117.66429,17,35,4,13968.69177,677,13904.44873,4,9,24,245.94,2.13,1,65,7,1,0,6,0.91,0.7991,0,4638,0.3767,5574,0.7911,3,3,1,0
52,86686.27969,13,17,65,28146.84307,739,19368.04709,5,9,17,264.11,1,3,110,1,1,1,4,0.4626,0.3566,7,3296,0.8456,9614,0.3,2,2,3,0
61,51938.31773,19,2,15,23722.76939,669,18980.56872,0,3,17,254.92,4.09,2,6,3,1,2,10,0.0887,0.6893,9,4182,0.7135,5871,0.8147,1,6,2,0
57,51640.92192,14,27,76,19808.18158,628,20850.80713,3,10,22,243.64,3.72,0,113,10,0,1,8,0.7971,0.187,7,4651,0.6703,9437,0.5679,1,1,2,0
39,60886.49936,10,5,22,23530.17228,647,17305.71533,10,8,33,54.81,4.3,0,68,3,0,1,8,0.4772,0.8134,8,3310,0.0306,579,0.7804,2,7,3,1
44,57215.13848,14,20,86,23041.58695,560,18311.71889,7,3,27,178.16,1.07,0,38,7,0,2,9,0.5464,0.6573,6,4409,0.1843,8453,0.9189,1,6,2,1
52,53358.26036,19,27,47,18563.14802,627,17056.77853,9,6,21,174.65,2.02,2,1,4,0,2,15,0.5958,0.4388,5,3256,0.9626,495,0.1384,4,7,3,1
18,38142.88317,15,39,81,5949.111747,628,24478.39847,5,5,20,158.38,4.91,0,41,3,0,3,5,0.6679,0.8645,2,2992,0.4544,4225,0.3439,3,2,3,1
52,57072.02536,17,0,93,21429.20583,658,12469.13292,4,4,19,144.24,0.79,0,31,6,0,3,7,0.8901,0.1392,3,2227,0.7814,5934,0.0556,1,2,3,1
54,78230.36745,13,35,46,32584.48293,747,15289.14698,6,1,27,26.75,3.36,1,36,10,1,6,12,0.9521,0.8458,3,3458,0.3893,2136,0.4069,1,7,3,1
64,70181.30069,17,20,14,7129.850694,553,8910.187006,4,3,19,30.65,1.19,2,73,6,0,1,12,0.9402,0.0239,0,3412,0.7643,5063,0.2374,2,5,2,1
31,73897.7994,16,34,50,12273.71984,630,7727.869399,10,5,18,270.68,2.5,1,105,10,2,0,11,0.8095,0.7532,9,3428,0.1192,5451,0.5717,1,5,3,1
20,42331.76485,13,12,20,23414.6158,558,16949.74021,4,5,18,189.06,4,1,54,5,0,0,8,0.8892,0.5734,9,4368,0.0421,8821,0.7834,2,5,1,0
18,35155.9277,19,9,50,20308.7349,625,10654.8824,8,7,17,78.7,2.44,2,109,6,0,2,9,0.0497,0.6967,1,4089,0.4662,8697,0.4864,3,3,3,1
22,48113.1962,16,9,33,23289.45728,607,14653.88638,2,2,18,83.79,4.03,0,87,3,0,3,8,0.8491,0.4123,6,1231,0.5916,7297,0.3336,4,3,2,1
43,50835.87368,11,12,59,14405.45434,575,24706.49586,8,4,21,183.06,2.13,0,31,10,2,4,13,0.0723,0.8644,5,1253,0.3237,206,0.1526,5,7,2,0
31,66412.87278,15,36,43,29299.66629,696,24359.62621,11,4,20,122.08,5,0,29,5,1,3,8,0.7462,0.3131,7,3148,0.716,3130,0.0268,3,1,2,0
56,24613.03055,18,37,79,20375.20453,663,28344.26867,7,4,17,132.4,2.18,1,113,9,2,3,8,0.1694,0.275,6,1829,0.4958,1854,0.6779,1,3,2,1
44,72943.25479,11,23,12,25575.88418,690,24825.91505,7,8,12,18.19,0.75,1,85,4,0,3,7,0.3601,0.3018,1,2885,0.9283,5578,0.0305,4,1,1,0
26,47629.88152,9,1,40,22562.21929,623,29418.10915,12,9,24,41.62,2.01,1,3,2,0,3,7,0.1842,0.7744,7,1906,0.085,5264,0.9208,5,2,3,0
